                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0225,                0.75643,                 1.2179,                0.91303,                0.86252,                0.93384,                0.70547,                0.94232,                0.69141,                 1.1953,             0.00063266,             0.00063266,             0.00063266
                     80,                 1.0211,                0.77926,                 1.2262,                0.88295,                0.90717,                 0.9339,                0.71758,                 0.8972,                0.70233,                 1.1661,             0.00063222,             0.00063222,             0.00063222
                     81,                 1.0394,                0.75322,                 1.2078,                0.90476,                 0.8851,                0.92768,                0.70827,                0.90014,                0.69093,                 1.1665,             0.00063178,             0.00063178,             0.00063178
                     82,                0.97752,                0.72264,                 1.1973,                0.91168,                0.89094,                0.92829,                0.73403,                0.86128,                0.65984,                 1.1601,             0.00063134,             0.00063134,             0.00063134
                     83,                0.97872,                0.71258,                 1.1826,                0.88839,                0.89672,                0.92748,                0.70058,                0.92404,                0.69596,                 1.1778,              0.0006309,              0.0006309,              0.0006309
                     84,                 1.0747,                0.76206,                  1.219,                0.90256,                0.87199,                0.93214,                0.71944,                0.87996,                0.69433,                 1.1645,             0.00063046,             0.00063046,             0.00063046
                     85,                 1.0032,                0.71745,                 1.1953,                0.92042,                0.87197,                0.92932,                0.71384,                0.90013,                0.66517,                 1.1593,             0.00063002,             0.00063002,             0.00063002
                     86,                 1.0026,                0.70822,                  1.191,                0.93207,                0.89324,                0.95037,                0.72313,                0.85917,                0.66159,                 1.1479,             0.00062958,             0.00062958,             0.00062958
                     87,                 1.0253,                0.74204,                 1.2232,                0.92694,                0.89373,                0.94861,                0.73597,                0.85338,                0.64003,                 1.1446,             0.00062914,             0.00062914,             0.00062914
                     88,                 1.0002,                0.72179,                  1.196,                 0.9317,                0.88629,                0.93169,                0.74095,                0.82921,                0.64595,                 1.1444,              0.0006287,              0.0006287,              0.0006287
                     89,                0.98959,                0.72783,                 1.1951,                0.87042,                 0.8944,                0.90836,                0.69696,                0.90691,                0.72347,                 1.1641,             0.00062826,             0.00062826,             0.00062826
                     90,                 1.0255,                0.77042,                 1.2327,                0.89387,                 0.8966,                0.93067,                0.73702,                0.84548,                0.66231,                 1.1493,             0.00062782,             0.00062782,             0.00062782
                     91,                0.92358,                0.67275,                 1.1424,                0.90611,                0.88853,                 0.9383,                0.73421,                0.84665,                0.65542,                 1.1491,             0.00062738,             0.00062738,             0.00062738
                     92,                0.97952,                0.72267,                 1.1966,                0.95959,                 0.8851,                0.95554,                0.72322,                0.87792,                0.66783,                  1.153,             0.00062694,             0.00062694,             0.00062694
                     93,                 1.0137,                0.76204,                 1.2333,                0.96762,                0.87113,                0.94872,                0.74082,                0.83256,                0.64726,                 1.1388,              0.0006265,              0.0006265,              0.0006265
                     94,                 1.0152,                0.70364,                 1.1628,                 0.9488,                0.92397,                0.95843,                0.73124,                0.89824,                0.64768,                 1.1492,             0.00062606,             0.00062606,             0.00062606
                     95,                0.94057,                0.68673,                 1.1774,                0.94599,                 0.9185,                 0.9591,                 0.7532,                0.85824,                0.63106,                 1.1323,             0.00062562,             0.00062562,             0.00062562
                     96,                 1.0701,                0.71208,                 1.1839,                0.96781,                 0.8941,                0.95773,                0.75237,                0.84179,                0.63332,                  1.122,             0.00062518,             0.00062518,             0.00062518
                     97,                0.93077,                0.66284,                 1.1293,                0.94502,                0.91903,                0.95876,                0.75958,                0.79647,                0.62698,                 1.0967,             0.00062474,             0.00062474,             0.00062474
                     98,                 1.0374,                0.85256,                 1.2933,                0.92654,                0.89412,                0.94054,                0.74242,                0.78715,                0.63364,                 1.0971,              0.0006243,              0.0006243,              0.0006243
                     99,                0.98119,                0.72293,                 1.1873,                0.91838,                0.90448,                 0.9536,                 0.7557,                0.80839,                0.64364,                 1.1175,             0.00062386,             0.00062386,             0.00062386
                    100,                0.94338,                0.67614,                 1.1598,                0.95247,                 0.8723,                0.94672,                0.74074,                0.82788,                 0.6432,                 1.1251,             0.00062342,             0.00062342,             0.00062342
                    101,                0.93774,                0.69371,                 1.1679,                0.96695,                0.85791,                0.94084,                0.74633,                0.82183,                0.63308,                  1.126,             0.00062298,             0.00062298,             0.00062298
                    102,                0.90748,                0.68591,                 1.1495,                 0.9254,                0.87457,                0.94612,                0.75729,                0.79035,                0.64099,                  1.107,             0.00062254,             0.00062254,             0.00062254
                    103,                0.93083,                0.67591,                   1.16,                0.94595,                 0.8845,                0.95388,                0.75763,                 0.8075,                0.60694,                  1.096,              0.0006221,              0.0006221,              0.0006221
                    104,                0.99245,                0.70969,                 1.1484,                0.92695,                0.85267,                0.93848,                0.71709,                0.88386,                0.66063,                 1.1202,             0.00062166,             0.00062166,             0.00062166
                    105,                0.93844,                0.67219,                 1.1236,                0.90513,                0.89561,                0.91859,                0.73674,                0.79443,                0.64833,                 1.0903,             0.00062122,             0.00062122,             0.00062122
                    106,                0.91664,                0.65962,                 1.1125,                0.93023,                0.88864,                0.94648,                0.75433,                0.80208,                0.60976,                 1.0931,             0.00062078,             0.00062078,             0.00062078
                    107,                0.94661,                0.71876,                 1.1595,                0.93081,                0.90543,                0.94932,                0.76847,                0.79306,                0.60852,                  1.105,             0.00062034,             0.00062034,             0.00062034
